confirmed,totalConfirmed,probable,totalProbable,cases,totalCases,recovered,totalRecovered,deaths,totalDeaths,overseas,contact,investigating,community,established,Date,date
1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28/02/2020,28/02/2020
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/02/2020,29/02/2020
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/03/2020,1/03/2020
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/03/2020,2/03/2020
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/03/2020,3/03/2020
1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/03/2020,4/03/2020
1,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/03/2020,5/03/2020
1,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/03/2020,6/03/2020
1,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/03/2020,7/03/2020
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/03/2020,8/03/2020
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/03/2020,9/03/2020
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/03/2020,10/03/2020
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/03/2020,11/03/2020
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/03/2020,12/03/2020
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/03/2020,13/03/2020
1,6,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/03/2020,14/03/2020
2,8,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/03/2020,15/03/2020
0,8,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/03/2020,16/03/2020
4,12,NA,NA,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/03/2020,17/03/2020
8,20,NA,NA,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/03/2020,18/03/2020
8,28,NA,NA,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/03/2020,19/03/2020
11,39,NA,NA,11,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/03/2020,20/03/2020
13,52,NA,NA,13,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/03/2020,21/03/2020
14,66,NA,NA,14,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/03/2020,22/03/2020
36,102,NA,NA,36,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/03/2020,23/03/2020
40,142,13,13,53,155,12,12,NA,NA,NA,NA,NA,NA,NA,24/03/2020,24/03/2020
47,189,3,16,50,205,10,22,NA,NA,NA,NA,NA,NA,NA,25/03/2020,25/03/2020
73,262,5,21,78,283,5,27,NA,NA,NA,NA,NA,NA,NA,26/03/2020,26/03/2020
76,338,9,30,85,368,10,37,NA,NA,NA,NA,NA,NA,NA,27/03/2020,27/03/2020
78,416,5,35,83,451,13,50,NA,NA,NA,NA,NA,NA,NA,28/03/2020,28/03/2020
60,476,3,38,63,514,6,56,1,1,NA,NA,NA,NA,NA,29/03/2020,29/03/2020
76,552,-1,37,75,589,7,63,0,1,NA,NA,NA,NA,NA,30/03/2020,30/03/2020
48,600,10,47,58,647,11,74,0,1,343,188,110,6,647,31/03/2020,31/03/2020
47,647,14,61,61,708,9,83,0,1,361,212,127,7,708,1/04/2020,1/04/2020
76,723,13,74,89,797,9,92,0,1,406,247,135,8,797,2/04/2020,2/04/2020
49,772,22,96,71,868,11,103,0,1,425,286,148,9,868,3/04/2020,3/04/2020
52,824,30,126,82,950,24,127,0,1,446,323,162,10,950,4/04/2020,4/04/2020
48,872,41,167,89,1039,29,156,0,1,468,374,187,10,1039,5/04/2020,5/04/2020
39,911,28,195,67,1106,20,176,0,1,476,420,188,22,1106,6/04/2020,6/04/2020
32,943,22,217,54,1160,65,241,0,1,487,476,174,23,1160,7/04/2020,7/04/2020
26,969,24,241,50,1210,41,282,0,1,496,520,169,24,1210,8/04/2020,8/04/2020
23,992,6,247,29,1239,35,317,0,1,508,545,161,25,1239,9/04/2020,9/04/2020
23,1015,21,268,44,1283,56,373,1,2,513,565,180,26,1283,10/04/2020,10/04/2020
20,1035,9,277,29,1312,49,422,2,4,525,604,144,26,1312,11/04/2020,11/04/2020
14,1049,4,281,18,1330,49,471,0,4,532,625,146,27,1330,12/04/2020,12/04/2020
