"confirmed","totalConfirmed","probable","totalProbable","cases","totalCases","recovered","totalRecovered","deaths","totalDeaths","overseas","contact","investigating","community","established","Date","date"
1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-02-28,"28/02/2020"
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-02-29,"29/02/2020"
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-01,"01/03/2020"
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-02,"02/03/2020"
0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-03,"03/03/2020"
1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-04,"04/03/2020"
1,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-05,"05/03/2020"
1,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-06,"06/03/2020"
1,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-07,"07/03/2020"
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-08,"08/03/2020"
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-09,"09/03/2020"
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-10,"10/03/2020"
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-11,"11/03/2020"
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-12,"12/03/2020"
0,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-13,"13/03/2020"
1,6,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-14,"14/03/2020"
2,8,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-15,"15/03/2020"
0,8,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-16,"16/03/2020"
4,12,NA,NA,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-17,"17/03/2020"
8,20,NA,NA,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-18,"18/03/2020"
8,28,NA,NA,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-19,"19/03/2020"
11,39,NA,NA,11,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-20,"20/03/2020"
13,52,NA,NA,13,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-21,"21/03/2020"
14,66,NA,NA,14,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-22,"22/03/2020"
36,102,NA,NA,36,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-23,"23/03/2020"
40,142,13,13,53,155,12,12,NA,NA,NA,NA,NA,NA,NA,2020-03-24,"24/03/2020"
47,189,3,16,50,205,10,22,NA,NA,NA,NA,NA,NA,NA,2020-03-25,"25/03/2020"
73,262,5,21,78,283,5,27,NA,NA,NA,NA,NA,NA,NA,2020-03-26,"26/03/2020"
76,338,9,30,85,368,10,37,NA,NA,NA,NA,NA,NA,NA,2020-03-27,"27/03/2020"
78,416,5,35,83,451,13,50,NA,NA,NA,NA,NA,NA,NA,2020-03-28,"28/03/2020"
60,476,3,38,63,514,6,56,1,1,NA,NA,NA,NA,NA,2020-03-29,"29/03/2020"
76,552,-1,37,75,589,7,63,0,1,NA,NA,NA,NA,NA,2020-03-30,"30/03/2020"
48,600,10,47,58,647,11,74,0,1,343,188,110,6,NA,2020-03-31,"31/03/2020"
47,647,14,61,61,708,9,83,0,1,361,212,127,7,NA,2020-04-01,"01/04/2020"
76,723,13,74,89,797,9,92,0,1,406,247,135,8,NA,2020-04-02,"02/04/2020"
49,772,22,96,71,868,11,103,0,1,425,286,148,9,NA,2020-04-03,"03/04/2020"
52,824,30,126,82,950,24,127,0,1,446,323,162,10,NA,2020-04-04,"04/04/2020"
48,872,41,167,89,1039,29,156,0,1,468,374,187,10,NA,2020-04-05,"05/04/2020"
